metric,value
RMSE,13.55698546353128
MAE,9.619375228881836
R2,0.8801864385604858
NASA_score,366.492023269817
Accuracy,0.23
Precision,0.20618556701030927
Recall,1.0
F1,0.3418803418803419
ROC_AUC,0.96625
